date,pair,tenor,delta,implied_vol
2025-09-01,EUR/USD,1W,0.25,0.076
2025-09-01,EUR/USD,1W,0.50,0.072
2025-09-01,EUR/USD,1W,0.75,0.078
2025-09-01,EUR/USD,1M,0.25,0.080
2025-09-01,EUR/USD,1M,0.50,0.075
2025-09-01,EUR/USD,1M,0.75,0.081
2025-09-01,EUR/USD,3M,0.25,0.085
2025-09-01,EUR/USD,3M,0.50,0.080
2025-09-01,EUR/USD,3M,0.75,0.086

2025-09-01,USD/JPY,1W,0.25,0.091
2025-09-01,USD/JPY,1W,0.50,0.088
2025-09-01,USD/JPY,1W,0.75,0.094
2025-09-01,USD/JPY,1M,0.25,0.095
2025-09-01,USD/JPY,1M,0.50,0.092
2025-09-01,USD/JPY,1M,0.75,0.097
2025-09-01,USD/JPY,3M,0.25,0.100
2025-09-01,USD/JPY,3M,0.50,0.096
2025-09-01,USD/JPY,3M,0.75,0.102